kInt8In8,Int8Int4,Int8Binary,Int8Ternary,Int4ActInt8Weight,Int4ActInt4Weight,TernaryActInt8Weight,TernaryActTernaryWeight,BinaryActInt8Weight,BinaryActBinaryWeight,Int8QuaTernary,
0.002545,0.000139,0.000225,0.000157,0.000126,0.000130,0.000148,0.000149,0.000187,0.000132,0.000210,
0.001628,0.000150,0.000227,0.000150,0.000149,0.000153,0.000144,0.000155,0.000191,0.000125,0.000214,
0.001721,0.000199,0.000344,0.000214,0.000195,0.000200,0.000181,0.000202,0.000280,0.000151,0.000317,
0.001819,0.000290,0.000345,0.000296,0.000277,0.000287,0.000250,0.000286,0.000267,0.000155,0.000533,
0.002164,0.000503,0.000579,0.000470,0.000454,0.000475,0.000402,0.000470,0.000432,0.000204,0.000943,
0.002298,0.000855,0.001028,0.000797,0.000779,0.000825,0.000684,0.000802,0.000736,0.000282,0.001760,
0.003293,0.001591,0.001958,0.001489,0.001474,0.001554,0.001290,0.001503,0.001376,0.000464,0.003443,
0.004002,0.002908,0.003755,0.002891,0.002835,0.002985,0.002472,0.002833,0.002577,0.000782,0.006648,
0.008739,0.005771,0.007419,0.005678,0.005452,0.005826,0.004832,0.005563,0.005046,0.001465,0.013203,
0.013693,0.011244,0.014898,0.011018,0.010720,0.011597,0.009303,0.011032,0.009830,0.002877,0.026116,
0.026198,0.022498,0.029479,0.021964,0.021420,0.023123,0.018548,0.021637,0.019619,0.005353,0.051993,
0.058972,0.044835,0.058328,0.043468,0.045608,0.045794,0.038955,0.042810,0.042539,0.010382,0.103424,
0.120976,0.093695,0.116690,0.086782,0.091683,0.094970,0.079540,0.085604,0.081929,0.020695,0.206896,
0.277505,0.184291,0.232438,0.178751,0.192318,0.193676,0.157564,0.177726,0.162542,0.040941,0.420406,
0.533880,0.366930,0.472142,0.352940,0.383315,0.384939,0.313431,0.347310,0.326563,0.084994,0.828938,
0.950288,0.745347,0.931646,0.709560,0.796680,0.766367,0.698782,0.696621,0.668081,0.172435,1.653306,
1.873513,1.492566,1.861686,1.404077,1.609417,1.531705,1.393204,1.389410,1.353970,0.344930,3.305222,
0.954460,0.746124,0.930397,0.701196,0.802376,0.766021,0.696607,0.695888,0.678011,0.174059,1.653477,
1.051231,0.783790,0.933073,0.704996,0.757558,0.761945,0.638327,0.693738,0.647562,0.174680,1.658777,
